"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"SMAP2"	17	37	28	50	0
"ZFP69B"	1	2	0	1	0
"AL031985.3"	0	0	1	0	1
"ZFP69"	1	0	0	4	1
"AL603839.3"	2	2	2	2	0
"EXO5"	3	3	10	13	1
"ZNF684"	6	10	12	14	1
"RIMS3"	0	0	2	1	0
"NFYC-AS1"	3	9	12	11	0
"NFYC"	42	79	75	98	8
"KCNQ4"	0	1	1	0	0
"CITED4"	326	195	220	325	5
"AC119677.1"	0	0	0	0	0
"CTPS1"	44	56	110	62	7
"SLFNL1-AS1"	1	3	1	2	0
"SCMH1"	26	87	83	54	3
"FOXO6"	4	19	16	11	1
"AC093151.2"	0	0	0	0	0
"EDN2"	187	282	35	64	0
"HIVEP3"	26	131	146	66	7
"FOXJ3"	32	105	89	110	5
"AC096540.1"	0	0	0	0	0
"RIMKLA"	1	3	0	1	0
"ZMYND12"	1	1	1	0	0
"PPCS"	106	165	148	323	14
"CCDC30"	3	15	10	9	1
"PPIH"	51	148	115	205	8
"AC098484.4"	1	2	0	1	1
"AC098484.2"	1	1	0	4	0
"YBX1"	1685	2484	2599	2901	96
"CLDN19"	0	0	4	0	0
"P3H1"	5	10	18	17	2
"C1orf50"	28	39	48	57	9
"TMEM269"	1	2	1	0	0
"SVBP"	59	162	172	162	8
"ERMAP"	9	22	26	20	2
"AL512353.1"	3	5	15	4	1
"ZNF691"	6	11	7	14	1
"SLC2A1"	903	1042	1369	2128	30
"SLC2A1-AS1"	17	36	36	36	0
"AC099795.1"	0	0	0	0	0
"FAM183A"	7	22	10	5	1
"EBNA1BP2"	157	197	179	128	14
"CFAP57"	0	1	0	2	0
"TMEM125"	0	0	4	4	0
"C1orf210"	6	9	8	22	0
"TIE1"	0	0	2	1	0
"AL139289.3"	2	0	0	0	0
"AL139289.2"	3	8	10	7	0
"CDC20"	2	0	4	4	0
"ELOVL1"	44	59	48	72	0
"MED8"	40	80	76	77	6
"SZT2"	15	24	34	25	1
"HYI"	49	130	133	177	9
"PTPRF"	90	177	205	300	24
"KDM4A"	19	33	22	56	6
"KDM4A-AS1"	5	16	16	10	1
"ST3GAL3"	5	23	30	27	0
"AL451062.1"	1	1	0	0	0
"ARTN"	4	10	5	5	0
"AL357079.1"	2	6	2	3	0
"IPO13"	10	14	7	22	0
"AL357079.2"	2	0	0	2	0
"DPH2"	28	28	38	39	0
"ATP6V0B"	336	457	445	654	21
"B4GALT2"	22	32	44	39	3
"CCDC24"	1	9	7	8	1
"SLC6A9"	8	22	21	28	0
"AL139220.2"	1	4	9	4	0
"DMAP1"	27	98	77	113	7
"ERI3"	47	91	85	148	9
"RNF220"	42	47	46	118	3
"TMEM53"	10	19	13	20	1
"ARMH1"	3	6	1	6	1
"KIF2C"	2	2	2	1	1
"RPS8"	11546	22842	29930	37452	650
"BEST4"	0	3	1	1	0
"PLK3"	178	332	261	569	27
"TCTEX1D4"	0	1	1	0	0
"BTBD19"	0	3	7	6	2
"PTCH2"	3	6	5	11	0
"EIF2B3"	57	62	35	84	2
"HECTD3"	15	19	20	25	2
"UROD"	51	106	103	176	9
"ZSWIM5"	2	8	9	18	0
"LINC01144"	0	4	0	3	0
"HPDL"	4	2	2	5	0
"MUTYH"	17	25	32	34	0
"TOE1"	11	30	40	32	5
"TESK2"	13	31	43	47	2
"CCDC163"	3	16	1	1	2
"MMACHC"	9	11	12	13	1
"PRDX1"	1749	3150	3530	5385	149
"AKR1A1"	122	256	264	349	25
"NASP"	280	561	750	744	27
"CCDC17"	2	9	5	11	0
"GPBP1L1"	94	179	182	194	12
"TMEM69"	16	54	57	47	2
"IPP"	12	27	29	30	5
"AL604028.1"	0	6	4	8	2
"MAST2"	8	9	9	6	5
"PIK3R3"	4	2	14	9	0
"AL358075.2"	0	0	0	1	0
