"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"ABI2";211.0461533291;-0.115006052733822;0.189282483357461;0.492123264112141;0.698073880505833
"ABI3BP";38.8501067858027;-0.344229345997757;0.308046958506106;0.116974350352184;0.296625967862935
"ABITRAM";69.5864610855547;-0.0244999729652612;0.302584779569045;0.908494942975587;0.958004160735363
"ABL1";519.364109822413;-0.702272693608966;0.418713526884276;0.00674080894059281;0.0452318149334107
"ABL2";577.932380723191;0.36346016292652;0.266066765958637;0.0794273191337453;0.235711585409354
"ABLIM1";1192.60670650792;0.43706544781925;0.26392773543865;0.0346566385175141;0.138047564882413
"ABLIM2";36.0325541203581;1.34927836588896;0.651976029954265;0.000345591681340687;0.00472780750948858
"ABLIM3";112.026488403512;-0.699161408140899;0.46956599455996;0.00954761607270218;0.0574233197309547
"ABO";2.4152760535271;-0.777567838362386;0.91037954259233;0.0219155448983588;0.101653734965189
"ABR";316.341240524504;-0.513821220241163;0.310642566729925;0.0219550037551315;0.101785836853651
"ABRACL";531.360999819744;0.138055590484522;0.289763366619417;0.514730992833858;0.7154280704861
"ABRAXAS1";27.0895002638461;0.361692555031868;0.295629769693228;0.0953461180729069;0.263814109853584
"ABRAXAS2";102.863603952625;0.418735456508174;0.250422388029151;0.0372504500740392;0.145157602553284
"ABT1";260.027938719511;-0.173999207090422;0.175273237997246;0.270382773199978;0.494432834963036
"ABTB1";70.7331968127797;0.62096691097494;0.450228176694105;0.0169321318170764;0.0856874712028519
"ABTB2";32.4030498372331;-0.242403460747553;0.313023022304357;0.265885817551335;0.489677863246412
"AC000065.1";4.33054640250957;0.0420872098101182;0.47561826605597;0.823988044820157;0.91364859145094
"AC000065.2";2.10681758677396;0.175920867953761;0.572189314420254;0.378634955966996;0.603689092003169
"AC000068.1";1.13909530974199;0.0394866569592513;0.459728004104687;0.836739304764367;NA
"AC000068.2";0.368324551698563;0.0200948936017831;0.717716432979985;0.902820979377553;NA
"AC000072.1";0.429460109527418;0.257235619351138;0.760957406383018;0.228707513411894;NA
"AC000078.1";0.739874820159806;-0.0111687054069841;0.506958009699713;0.951588481478444;NA
"AC000085.1";0.415075864049721;-0.0788064807565257;0.626030886891534;0.66177281273346;NA
"AC000089.1";2.5152961829188;0.212876157600837;0.477211035587789;0.313883636879589;0.540241095134613
"AC000093.1";0.698524731127779;-0.181856238148466;0.570639695458794;0.36570478974414;NA
"AC000095.3";0.463126625473302;0.00517051881673062;0.503334883690948;0.977617268660703;NA
"AC000120.2";0.545461218504661;0.121673840002017;0.635850248634221;0.514283650793506;NA
"AC000123.1";1.17601896253428;0.1352264235194;0.476946382198325;0.497256269136075;NA
"AC000123.2";0.694348910515065;0.326455713717624;0.877632531062359;0.154793911500483;NA
"AC000123.3";12.5791677004456;-0.0401397393912366;0.368133606714088;0.848915519177854;0.928223271428091
"AC000403.1";0.976987596862062;-0.0789688995816485;0.509913432208303;0.674881468560905;NA
"AC001226.2";1.51666521553356;0.282526881938573;0.689843005726391;0.201741303000268;0.414560742067776
"AC002044.2";0.55336660533293;-0.0048100575284907;0.564912629492868;0.978542163151194;NA
"AC002056.1";0.760214633915819;0.114306220343916;0.523652219518138;0.551065377052897;NA
"AC002059.3";0.751040050979791;0.0233234477201437;0.486973792565038;0.900595711864255;NA
"AC002064.2";0.296886705016748;0.090708327862736;0.705603004705859;0.604926227723671;NA
"AC002066.1";2.02468746753365;0.0951242512966774;0.400016048394339;0.645743659701114;0.807527113481766
