"lako1"	"lako2"	"lako3"	"lako4"
"TENT5B"	207	268	237	279
"SLC9A1"	346	189	322	444
"WDTC1"	192	153	201	446
"TMEM222"	317	158	220	434
"SYTL1"	1285	604	776	2613
"MAP3K6"	266	160	233	548
"FCN3"	3	1	5	1
"CD164L2"	28	35	37	48
"GPR3"	9	8	6	4
"WASF2"	1292	1091	990	2132
"BX293535.1"	1	0	1	3
"AHDC1"	207	229	334	491
"FGR"	1	1	2	2
"LINC02574"	0	0	1	1
"IFI6"	138	151	244	745
"AL020997.5"	22	5	1	4
"FAM76A"	288	182	248	586
"STX12"	573	570	755	1065
"AL020997.2"	87	40	66	77
"AL020997.3"	4	11	5	13
"PPP1R8"	252	132	179	403
"THEMIS2"	8	4	2	3
"RPA2"	1014	494	449	1247
"SMPDL3B"	29	6	8	15
"AL512288.1"	2	0	0	1
"XKR8"	93	16	32	96
"EYA3"	227	108	137	365
"PTAFR"	370	174	273	686
"DNAJC8"	1684	1212	1353	2444
"ATP5IF1"	5488	4271	3814	10179
"AL353622.1"	24	8	9	42
"AL353622.2"	3	0	0	1
"SESN2"	291	136	213	312
"MED18"	100	45	39	124
"PHACTR4"	1538	1036	2526	2275
"RCC1"	133	74	62	158
"SNHG3"	709	280	423	794
"TRNAU1AP"	478	256	279	633
"SNHG12"	775	429	447	748
"TAF12"	491	308	344	830
"RAB42"	7	2	1	13
"LINC01715"	13	11	9	31
"AL360012.1"	10	13	9	29
"GMEB1"	160	105	130	206
"YTHDF2"	1563	977	1217	1945
"OPRD1"	0	2	0	0
"EPB41"	307	214	275	507
"TMEM200B"	20	12	10	19
"SRSF4"	1589	1120	1224	2094
"MECR"	161	118	125	244
"PTPRU"	37	49	67	96
"MATN1"	0	0	5	1
"MATN1-AS1"	42	13	16	47
"AL137857.1"	1	1	0	0
"LAPTM5"	4	1	1	10
"LINC01778"	0	0	0	1
"SDC3"	17	11	7	34
"PUM1"	1102	775	1309	1745
"NKAIN1"	1	2	0	1
"SNRNP40"	711	363	423	1040
"ZCCHC17"	700	343	371	1002
"FABP3"	16	8	15	1
"SERINC2"	2020	845	1278	3482
"LINC01226"	31	2	8	12
"TINAGL1"	21	10	20	47
"PEF1"	654	417	439	944
"AC114488.2"	0	2	0	1
"AC114488.3"	1	0	0	3
"COL16A1"	189	103	140	589
"ADGRB2"	22	15	36	48
"SPOCD1"	5	7	13	4
"AL354919.1"	2	0	0	0
"AL136115.2"	5	4	8	18
"PTP4A2"	2102	1857	2829	2746
"AL136115.1"	1	0	2	1
"KHDRBS1"	1981	1231	1512	2788
"AL445248.1"	37	6	9	35
"TMEM39B"	105	69	80	197
"KPNA6"	599	461	565	1050
"AL049795.2"	7	1	6	2
"TXLNA"	272	131	121	543
"CCDC28B"	95	40	64	137
"AL049795.1"	2	0	0	4
"IQCC"	8	5	5	29
"TMEM234"	112	51	46	161
"EIF3I"	2037	1278	1285	2459
"FAM167B"	2	3	0	2
"LCK"	0	0	2	0
"HDAC1"	424	248	269	642
"MARCKSL1"	202	449	581	519
"TSSK3"	1	1	6	6
"FAM229A"	32	24	37	85
"BSDC1"	610	355	331	732
"ZBTB8B"	22	5	8	21
"ZBTB8A"	122	92	93	253
"ZBTB8OS"	603	512	372	1164
"RBBP4"	1165	648	933	1886
"SYNC"	267	203	275	525
"AC114489.1"	9	2	2	5
"KIAA1522"	565	501	525	1110
"YARS"	593	263	299	653
"S100PBP"	241	131	210	384
"FNDC5"	0	0	4	1
"HPCA"	7	2	2	2
"TMEM54"	1085	452	516	1497
"AL031602.2"	2	1	4	0
"RNF19B"	588	585	1500	1043
"AK2"	1150	678	734	1708
"AZIN2"	24	23	30	53
"TRIM62"	79	36	27	136
"AL662907.3"	1	0	1	1
"ZNF362"	130	96	161	344
"PHC2"	328	185	261	557
"ZSCAN20"	6	7	5	27
"CSMD2"	35	10	2	29
"AC099565.1"	2	0	0	0
"SMIM12"	515	279	269	738
"GJB5"	738	328	467	1284
"GJB4"	1009	375	589	1541
"AL121988.1"	0	1	0	0
"GJB3"	1002	648	1108	1492
"GJA4"	13	16	6	34
"DLGAP3"	7	3	8	11
