"HC7"	"HC6"
"AC005776.2"	0	0
"AKAP8"	36	59
"AKAP8L"	63	46
"WIZ"	19	14
"RASAL3"	0	0
"PGLYRP2"	0	0
"CYP4F22"	0	0
"CYP4F3"	0	3
"CYP4F12"	24	35
"OR10H1"	0	0
"CYP4F11"	1	4
"TPM4"	642	328
"RAB8A"	84	81
"HSH2D"	2	0
"FAM32A"	71	114
"AP1M1"	14	21
"AC020911.2"	0	1
"KLF2"	114	57
"AC020917.3"	1	0
"EPS15L1"	13	24
"C19orf44"	1	2
"CHERP"	17	19
"AC008764.6"	0	2
"SLC35E1"	23	26
"AC008764.8"	3	5
"MED26"	16	8
"SMIM7"	103	174
"TMEM38A"	3	1
"NWD1"	0	0
"SIN3B"	22	18
"F2RL3"	0	0
"CPAMD8"	0	1
"HAUS8"	21	28
"MYO9B"	31	14
"USE1"	93	89
"OCEL1"	18	13
"NR2F6"	68	58
"USHBP1"	0	3
"BABAM1"	74	95
"ANKLE1"	0	2
"ABHD8"	3	19
"MRPL34"	145	131
"DDA1"	65	57
"ANO8"	0	6
"GTPBP3"	41	49
"PLVAP"	0	0
"CCDC194"	0	0
"BST2"	7	2
"BISPR"	0	0
"MVB12A"	107	101
"AC010319.4"	1	0
"TMEM221"	1	0
"SLC27A1"	15	24
"AC010618.3"	2	4
"PGLS"	238	262
"FAM129C"	1	1
"COLGALT1"	39	53
"MAP1S"	11	11
"FCHO1"	0	0
"B3GNT3"	0	0
"INSL3"	0	0
"JAK3"	1	0
"RPL18A"	9384	7644
"SLC5A5"	3	0
"CCDC124"	72	59
"KCNN1"	0	0
"ARRDC2"	5	6
"IL12RB1"	0	0
"MAST3"	1	0
"PIK3R2"	2	12
"IFI30"	14	20
"MPV17L2"	9	11
"RAB3A"	4	8
"AC005759.1"	0	0
"AC008397.2"	9	0
"PDE4C"	0	0
"AC008397.1"	0	1
"IQCN"	11	4
"JUND"	1171	794
"LSM4"	228	266
"PGPEP1"	6	7
"GDF15"	0	0
"LRRC25"	0	0
"SSBP4"	62	48
"ISYNA1"	12	17
"ELL"	20	17
"FKBP8"	224	174
"KXD1"	70	74
"AC005253.1"	1	1
"UBA52"	3468	2566
"CRLF1"	117	74
"REX1BD"	188	204
"TMEM59L"	1	0
"KLHL26"	5	7
"CRTC1"	13	6
"COMP"	0	1
"UPF1"	15	28
"CERS1"	1	0
"COPE"	331	255
"DDX49"	45	77
"HOMER3"	36	31
"HOMER3-AS1"	0	0
"SUGP2"	50	55
"ARMC6"	14	16
"SLC25A42"	7	11
"TMEM161A"	41	40
"BORCS8-MEF2B"	0	0
"BORCS8"	31	26
"RFXANK"	59	75
"NR2C2AP"	59	55
"TM6SF2"	0	0
"SUGP1"	23	24
"MAU2"	21	16
"GATAD2A"	63	54
"NDUFA13"	105	136
"YJEFN3"	2	5
"CILP2"	0	1
"PBX4"	1	3
"AC002306.1"	0	0
"LPAR2"	9	19
"GMIP"	0	1
"ATP13A1"	12	17
"ZNF101"	5	12
"ZNF14"	4	7
"LINC00663"	6	0
"ZNF506"	22	23
"ZNF253"	6	9
"ZNF93"	12	9
"ZNF682"	21	14
"ZNF90"	34	53
"AC011447.3"	2	2
"ZNF486"	6	6
"ZNF737"	9	5
"ZNF626"	21	28
"AC010329.1"	3	5
"ZNF66"	12	5
"ZNF85"	19	39
"ZNF430"	42	51
"ZNF714"	19	35
"ZNF431"	40	37
"ZNF708"	12	17
"ZNF738"	4	10
"ZNF493"	24	26
"ZNF429"	13	13
"ZNF100"	8	13
"AC092364.1"	1	0
"ZNF43"	29	27
"ZNF208"	0	0
"ZNF257"	2	5
"ZNF676"	0	2
"ZNF492"	4	8
"ZNF99"	0	0
"ZNF723"	0	0
"ZNF728"	0	0
"ZNF730"	1	0
"ZNF724"	1	2
"AC092329.3"	0	0
"ZNF91"	57	72
"AC010300.1"	1	0
"ZNF675"	32	45
"ZNF681"	18	15
"ZNF726"	6	5
"ZNF254"	15	17
"AC092279.1"	3	4
"AC073534.2"	0	1
"LINC00662"	17	19
"AC006504.1"	1	0
"AC006504.5"	11	3
"LINC00906"	0	0
"UQCRFS1"	246	289
"AC007786.1"	0	1
"POP4"	90	70
"PLEKHF1"	4	6
"C19orf12"	23	24
"CCNE1"	28	10
"URI1"	235	254
"ZNF536"	1	0
"TSHZ3"	3	0
"ZNF507"	15	18
"AC007773.1"	2	2
"DPY19L3"	10	3
"PDCD5"	411	285
"ANKRD27"	8	9
"RGS9BP"	0	0
"AC008736.1"	0	0
"NUDT19"	24	20
"TDRD12"	0	2
"CEP89"	28	41
"FAAP24"	7	11
"RHPN2"	1	1
"GPATCH1"	23	20
"LRP3"	14	33
"CEBPA"	126	160
"AC008738.3"	1	0
"CEBPA-DT"	5	6
"CEBPG"	89	103
"PEPD"	50	46
"KCTD15"	43	31
"AC008556.1"	16	10
"LSM14A"	128	194
"KIAA0355"	18	12
"GPI"	68	68
"PDCD2L"	18	14
"AC008747.1"	0	0
"UBA2"	186	204
"WTIP"	10	14
"SCGB1B2P"	2	1
"SCGB2B2"	0	0
"ZNF302"	29	26
"AC020910.4"	7	8
"ZNF181"	22	14
"ZNF599"	16	15
"LINC01801"	0	0
"AC008555.2"	1	0
"AC008555.5"	1	1
"ZNF30"	2	4
"ZNF792"	2	1
"GRAMD1A"	20	16
"AC020907.3"	0	0
"SCN1B"	3	1
"AC020907.1"	1	0
"FXYD3"	962	759
"LGI4"	1	0
"FXYD1"	8	1
"FXYD7"	1	2
"FXYD5"	67	74
"LSR"	106	72
"USF2"	84	97
"HAMP"	5	1
"CD22"	0	0
"FFAR3"	0	0
"AC002511.2"	0	0
"FFAR2"	1	0
"KRTDAP"	767	165
"DMKN"	4606	2805
"SBSN"	168	67
"TMEM147-AS1"	3	2
"TMEM147"	146	114
"AD000090.1"	0	0
"HAUS5"	17	30
"RBM42"	115	87
"ETV2"	9	13
"COX6B1"	705	527
"UPK1A"	0	0
"KMT2B"	48	56
"IGFLR1"	0	1
"U2AF1L4"	9	20
"PSENEN"	72	66
"AD000671.3"	0	1
"LIN37"	3	0
"HSPB6"	1	2
"PROSER3"	6	12
"ARHGAP33"	15	18
"NPHS1"	1	0
"APLP1"	4	5
"NFKBID"	70	30
"HCST"	9	3
"TYROBP"	4	0
"LRFN3"	2	3
"AF038458.2"	0	0
"SDHAF1"	21	30
"SYNE4"	0	0
"ALKBH6"	11	4
"AC002116.2"	0	0
"CLIP3"	0	0
"THAP8"	3	3
"WDR62"	8	13
"POLR2I"	252	170
"TBCB"	104	82
"CAPNS1"	60	58
"COX7A1"	2	0
"ZNF565"	6	7
"ZNF146"	47	43
"LINC00665"	24	22
"ZFP14"	17	27
"ZFP82"	2	2
"ZNF566"	16	22
"AC092295.2"	0	0
"ZNF260"	4	15
"ZNF529"	12	3
"ZNF529-AS1"	4	7
"ZNF382"	0	0
"ZNF461"	9	2
"LINC01534"	6	5
"ZNF567"	42	37
"ZNF850"	2	2
"AC020928.2"	1	3
"AC020928.3"	0	0
"AC020928.1"	7	9
"ZNF790"	3	7
"ZNF345"	12	5
"ZNF829"	6	3
"ZNF568"	8	7
"ZNF420"	13	18
"ZNF585A"	8	7
"ZNF585B"	3	0
"ZNF383"	12	14
"LINC01535"	2	0
"AC016590.1"	0	0
"HKR1"	13	19
"AC016590.3"	1	0
"ZNF527"	6	6
"ZNF569"	7	9
"ZNF570"	8	9
"ZNF793-AS1"	12	10
"ZNF793"	20	15
"ZNF571-AS1"	1	2
"ZNF540"	6	5
"ZNF571"	7	9
"ZFP30"	5	16
"ZNF781"	1	0
"ZNF607"	4	5
"AC093227.1"	0	1
"ZNF573"	7	14
"WDR87"	1	0
"SIPA1L3"	11	8
"DPF1"	3	0
"SPINT2"	825	670
"PPP1R14A"	3	1
"C19orf33"	194	131
"YIF1B"	22	38
"KCNK6"	62	46
"CATSPERG"	4	9
"PSMD8"	463	454
"GGN"	0	0
"SPRED3"	6	4
"FAM98C"	59	66
"RASGRP4"	0	0
"RYR1"	73	71
"MAP4K1"	0	0
"AC008649.1"	0	0
"EIF3K"	886	836
"ACTN4"	320	237
"CAPN12"	30	9
"AC022144.1"	18	6
"LGALS7"	622	308
"LGALS7B"	2698	709
"LGALS4"	21	18
"ECH1"	260	306
"AC104534.1"	0	0
"HNRNPL"	100	116
"RINL"	12	8
"SIRT2"	79	86
"NFKBIB"	34	29
"CCER2"	0	0
"SARS2"	4	15
"MRPS12"	123	128
"ERVK9-11"	0	0
"FBXO17"	39	39
"FBXO27"	44	43
"PAK4"	19	16
"NCCRP1"	3	1
"IFNL1"	0	0
"LRFN1"	3	3
"GMFG"	2	1
"AC011445.2"	2	1
"SAMD4B"	42	27
"PAF1"	59	37
"MED29"	51	34
"ZFP36"	2142	619
"PLEKHG2"	44	14
"RPS16"	6169	4541
"SUPT5H"	68	29
"TIMM50"	50	42
"DLL3"	0	1
"EID2B"	3	3
"EID2"	38	46
"AC005393.1"	3	0
"DYRK1B"	3	12
"FBL"	346	276
"FCGBP"	2	1
"PSMC4"	163	135
"ZNF546"	5	2
"ZNF780B"	4	7
"ZNF780A"	11	5
"AC005614.1"	0	1
"MAP3K10"	8	7
"CNTD2"	3	2
"AKT2"	41	44
"C19orf47"	4	5
"PLD3"	74	92
"HIPK4"	2	0
"PRX"	31	8
"SERTAD1"	425	100
"AC010271.2"	0	0
"SERTAD3"	96	52
"BLVRB"	314	266
"SPTBN4"	0	0
"SHKBP1"	33	30
"LTBP4"	81	86
"NUMBL"	20	8
"COQ8B"	24	23
"ITPKC"	46	14
"C19orf54"	2	4
"SNRPA"	68	77
"MIA"	1	0
"RAB4B"	7	0
"AC008537.4"	0	1
"EGLN2"	1	1
"CYP2S1"	4	1
"AXL"	8	9
"HNRNPUL1"	118	105
"TGFB1"	89	46
"CCDC97"	12	16
"TMEM91"	47	33
"B9D2"	7	6
"EXOSC5"	80	81
"BCKDHA"	0	0
"B3GNT8"	11	14
"DMAC2"	29	50
"ERICH4"	1	0
"PCAT19"	1	0
"LINC01480"	0	0
"AC243960.1"	0	0
"CEACAM21"	0	0
"CEACAM4"	0	0
"CEACAM5"	0	0
"CEACAM6"	0	0
"RPS19"	11187	9765
"CD79A"	2	1
"ARHGEF1"	42	47
"RABAC1"	244	221
"ATP1A3"	0	0
"GRIK5"	1	1
"ZNF574"	17	17
"POU2F2"	7	1
"AC010247.2"	0	0
"DEDD2"	39	27
"ZNF526"	5	3
"GSK3A"	165	101
"ERF"	74	34
"CIC"	45	27
"PAFAH1B3"	103	143
"PRR19"	3	1
"TMEM145"	1	1
"MEGF8"	6	5
"CNFN"	7	5
"LIPE-AS1"	6	3
"LIPE"	5	5
"CXCL17"	0	0
"CEACAM1"	1	1
"AC004784.1"	3	3
"LYPD3"	188	120
"PHLDB3"	12	24
"ETHE1"	53	49
"ZNF575"	4	3
"XRCC1"	28	23
"PINLYP"	16	10
"IRGQ"	8	7
"ZNF576"	23	24
"SRRM5"	0	1
"ZNF428"	58	65
"CADM4"	23	19
"PLAUR"	31	11
"SMG9"	6	5
"KCNN4"	0	0
"AC115522.1"	0	0
"LYPD5"	5	3
"ZNF283"	8	11
"ZNF404"	2	0
"AC006213.2"	1	2
"AC006213.3"	0	0
"ZNF45"	3	1
"ZNF221"	0	3
"ZNF155"	3	1
"AC006213.1"	0	0
"ZNF230"	6	10
"ZNF222"	2	11
"ZNF223"	4	4
"ZNF284"	3	3
"ZNF224"	20	32
"AC021092.1"	2	1
"ZNF225"	2	1
"ZNF234"	8	10
"ZNF226"	15	35
"ZNF227"	8	18
"ZNF235"	1	6
"ZNF233"	0	1
"ZNF112"	4	8
"ZNF285"	0	0
"ZNF229"	1	0
"ZNF180"	7	13
"AC243964.2"	1	0
"PVR"	3	4
"CEACAM19"	1	0
"BCL3"	65	19
"CBLC"	57	40
"AC092306.1"	0	3
"BCAM"	97	88
"NECTIN2"	46	29
"AC011481.2"	1	0
"TOMM40"	126	119
"APOE"	1359	1578
"APOC1"	26	35
"CLPTM1"	55	54
"RELB"	21	17
"CLASRP"	36	41
"ZNF296"	70	43
"GEMIN7"	9	13
"MARK4"	36	29
"PPP1R37"	35	39
"AC005757.1"	0	0
"NKPD1"	2	5
"TRAPPC6A"	114	153
"BLOC1S3"	4	6
"EXOC3L2"	2	0
"CKM"	0	0
"KLC3"	273	207
"ERCC2"	9	11
"PPP1R13L"	76	112
"CD3EAP"	38	37
"ERCC1"	120	149
"FOSB"	1225	506
"RTN2"	7	14
"PPM1N"	11	16
"VASP"	131	95
"OPA3"	30	21
"GPR4"	0	0
"EML2"	97	93
"GIPR"	0	0
"SNRPD2"	842	608
"QPCTL"	3	1
"FBXO46"	6	7
"SIX5"	12	6
"DM1-AS"	0	0
"DMPK"	2	8
"DMWD"	15	12
"SYMPK"	20	25
"AC092301.1"	0	1
"FOXA3"	0	0
"IRF2BP1"	44	34
"MYPOP"	10	5
"NOVA2"	0	0
"CCDC61"	30	45
"IGFL4"	2	1
"IGFL3"	2	1
"IGFL2"	13	3
"AC006262.2"	17	12
"IGFL2-AS1"	4	5
"IGFL1"	3	0
"HIF3A"	0	0
"PPP5C"	26	22
"AC007193.1"	0	0
"CCDC8"	1	5
"PNMA8A"	2	0
"PPP5D1"	6	6
"PNMA8B"	4	2
"AC011484.1"	1	3
"CALM3"	131	138
"AC093503.2"	0	0
"PTGIR"	0	0
"DACT3"	1	1
"DACT3-AS1"	0	0
"PRKD2"	37	29
"STRN4"	29	23
"FKRP"	3	8
"SLC1A5"	56	21
"AC008622.2"	0	2
"AP2S1"	270	307
"ARHGAP35"	28	22
"NPAS1"	2	7
"TMEM160"	215	188
"ZC3H4"	29	17
"SAE1"	55	104
"BBC3"	57	20
"CCDC9"	8	13
"INAFM1"	29	46
"C5AR1"	7	2
"C5AR2"	0	0
"DHX34"	3	4
"MEIS3"	2	1
"KPTN"	12	18
"NAPA-AS1"	3	2
"NAPA"	103	129
"ZNF541"	0	1
"AC010331.1"	0	0
"BICRA"	5	10
"EHD2"	39	32
"NOP53"	1031	896
"SELENOW"	1548	1204
"CRX"	0	0
"PLA2G4C"	2	20
"LIG1"	33	72
"ZSWIM9"	15	13
"CARD8"	18	21
"CARD8-AS1"	5	1
"ZNF114"	1	0
"CCDC114"	1	1
"EMP3"	96	53
"TMEM143"	9	15
"KDELR1"	255	227
"GRIN2D"	1	0
"GRWD1"	43	41
"KCNJ14"	5	5
"CYTH2"	96	57
"LMTK3"	1	1
"AC008403.3"	0	0
"SULT2B1"	26	12
"FAM83E"	0	1
"SPACA4"	0	0
"RPL18"	9637	7779
"AC022154.1"	0	0
"SPHK2"	5	8
"DBP"	227	174
"CA11"	22	24
"NTN5"	0	0
"FUT2"	7	0
"MAMSTR"	3	5
"RASIP1"	37	33
"IZUMO1"	0	0
"FUT1"	2	0
"BCAT2"	27	25
"HSD17B14"	0	0
"PLEKHA4"	7	8
"PPP1R15A"	756	442
"TULP2"	0	0
"NUCB1"	109	106
"DHDH"	0	2
"BAX"	104	113
"FTL"	1918	1462
"GYS1"	11	5
"RUVBL2"	104	97
"NTF4"	34	34
"KCNA7"	1	0
"SNRNP70"	210	220
"LIN7B"	13	17
"C19orf73"	6	6
"PPFIA3"	32	26
"HRC"	1	0
"TRPM4"	15	13
"SLC6A16"	0	1
"AC011450.1"	0	0
"CD37"	2	3
"TEAD2"	5	3
"AC010524.1"	0	0
"DKKL1"	0	0
"SLC17A7"	1	1
"PIH1D1"	132	126
"ALDH16A1"	41	47
"FLT3LG"	7	3
"RPL13A"	7517	5682
"RPS11"	5289	3463
"FCGRT"	97	93
"RCN3"	8	1
"NOSIP"	82	86
"PRRG2"	26	33
"PRR12"	10	12
"RRAS"	110	125
"SCAF1"	29	21
"IRF3"	73	60
"BCL2L12"	57	52
"PRMT1"	254	229
"ADM5"	14	1
"CPT1C"	3	1
"TSKS"	3	6
"AP2A1"	33	42
"FUZ"	7	12
"AC006942.1"	2	1
"MED25"	28	26
"PTOV1-AS1"	2	3
"PTOV1"	65	80
"PNKP"	34	39
"AKT1S1"	35	34
"TBC1D17"	22	26
"IL4I1"	1	0
"NUP62"	59	61
"ATF5"	67	44
"SIGLEC11"	0	0
"VRK3"	17	16
"ZNF473"	4	4
"MYH14"	8	0
"AC008655.1"	0	0
"KCNC3"	1	2
"NR1H2"	51	47
"NAPSA"	1	1
"POLD1"	11	22
"SPIB"	0	1
"FAM71E1"	0	3
"EMC10"	68	63
"AC020909.2"	0	0
"JOSD2"	70	94
"LRRC4B"	0	0
"C19orf81"	2	0
"SHANK1"	0	0
"CLEC11A"	61	52
"AC010325.1"	4	2
"ACP4"	1	0
"C19orf48"	120	160
"KLK1"	42	16
"KLK4"	1	1
"KLK5"	43	61
"KLK6"	1	0
"KLK7"	22	3
"KLK8"	32	19
"AC011473.4"	7	1
"KLK10"	57	19
"KLK11"	438	365
"AC011473.3"	0	0
"KLK13"	4	9
"CTU1"	16	38
"SIGLEC9"	0	0
"SIGLEC7"	0	0
"CD33"	1	0
"VSIG10L"	0	0
"ETFB"	227	223
"CLDND2"	1	2
"NKG7"	0	1
"SIGLEC10"	0	0
"SIGLEC8"	0	0
"SIGLEC6"	0	0
"ZNF175"	3	3
"SIGLEC5"	0	0
"SIGLEC14"	1	0
"SPACA6P-AS"	16	4
"SPACA6"	14	9
"HAS1"	42	5
"FPR1"	0	0
"FPR3"	0	0
"ZNF577"	11	9
"ZNF649"	9	14
"ZNF613"	3	1
"ZNF350"	11	13
"ZNF615"	2	4
"ZNF614"	5	6
"ZNF432"	2	12
"AC011468.5"	2	3
"ZNF841"	1	5
"ZNF616"	11	9
"ZNF836"	9	12
"PPP2R1A"	118	135
"ZNF766"	25	32
"ZNF480"	23	31
"ZNF610"	0	1
"ZNF880"	20	18
"ZNF528"	15	12
"ZNF534"	0	0
"ZNF578"	1	0
"ZNF808"	15	7
"ZNF701"	14	14
"AC022150.1"	0	0
"ZNF83"	39	25
"ZNF611"	7	8
"ZNF600"	14	7
"ZNF28"	4	8
"ZNF468"	4	7
"ZNF888"	2	6
"AC010487.2"	0	4
"ZNF816-ZNF321P"	1	1
"ZNF816"	5	2
"ZNF160"	33	15
"ZNF415"	5	2
"ZNF347"	12	10
"ZNF665"	11	3
"ZNF677"	57	47
"AC092070.3"	1	0
"ZNF845"	7	6
"ZNF525"	15	15
"ZNF765"	8	22
"ZNF761"	5	10
"ZNF813"	5	5
"ZNF331"	61	40
"NLRP12"	0	0
"MYADM"	160	74
"AC008440.2"	0	0
"PRKCG"	4	0
"CACNG8"	3	1
"OSCAR"	0	2
"NDUFA3"	127	85
"TFPT"	17	12
"PRPF31"	129	142
"CNOT3"	24	45
"LENG1"	40	32
"TMC4"	0	2
"MBOAT7"	42	31
"TSEN34"	184	173
"RPS9"	6567	6106
"LILRB3"	2	5
"AC245052.7"	0	0
"LILRA6"	0	0
"LILRB5"	2	0
"LILRB2"	0	0
"LILRA5"	0	0
"LILRA4"	0	0
"LAIR1"	0	1
"TTYH1"	6	0
"AC245884.8"	0	0
"LENG8-AS1"	3	8
"LENG8"	31	37
"LENG9"	5	8
"CDC42EP5"	51	32
"LAIR2"	0	0
"LILRA2"	0	0
"LILRA1"	0	0
"LILRB1"	0	0
"LILRB4"	0	0
"KIR2DL3"	0	0
"FCAR"	0	0
"AC245128.3"	0	0
"NCR1"	0	0
"NLRP2"	3	2
"AC011476.3"	0	0
"GP6"	1	0
"RDH13"	15	7
"EPS8L1"	3	3
"PPP1R12C"	13	14
"TNNT1"	99	169
"TNNI3"	12	12
"DNAAF3"	4	3
"SYT5"	1	0
"PTPRH"	0	0
"AC010327.4"	3	0
"TMEM86B"	1	3
"PPP6R1"	19	22
"HSPBP1"	52	44
"BRSK1"	0	1
"KMT5C"	10	16
"COX6B2"	4	4
"IL11"	4	3
"TMEM238"	308	257
"RPL28"	9848	7144
"UBE2S"	682	206
"SHISA7"	0	0
"ISOC2"	161	123
"ZNF628"	8	14
"NAT14"	8	6
"SSC5D"	0	1
"ZNF579"	14	16
"FIZ1"	7	6
"ZNF524"	74	93
"ZNF865"	5	10
"AC008735.4"	0	0
"ZNF784"	2	2
"ZNF580"	67	56
"ZNF581"	36	31
"CCDC106"	27	9
"U2AF2"	67	74
"AC008735.2"	1	0
"EPN1"	90	62
"NLRP4"	0	0
"ZNF787"	54	40
"ZNF444"	10	5
"ZSCAN5A"	8	8
"EDDM13"	10	4
"AC006116.8"	0	3
"ZNF582"	4	4
"ZNF582-AS1"	4	2
"ZNF583"	3	5
"ZNF667"	4	4
"ZNF667-AS1"	14	15
"ZNF471"	4	3
"AC005498.2"	3	1
"ZFP28"	6	7
"AC005498.3"	2	2
"ZNF470"	2	1
"ZNF71"	10	11
"ZNF835"	0	0
"AC007228.2"	3	1
"ZIM2"	0	0
"PEG3"	4	1
"ZNF264"	23	29
"AURKC"	1	0
"ZNF805"	7	7
"AC005261.3"	7	7
"ZNF460-AS1"	3	2
"ZNF460"	8	8
"AC005261.1"	30	22
"ZNF543"	6	9
"ZNF304"	1	6
"ZNF547"	4	5
"TRAPPC2B"	49	42
"ZNF548"	8	9
"ZNF17"	11	12
"ZNF749"	2	3
"AC004076.2"	0	1
"VN1R1"	0	0
"ZNF772"	2	3
"ZNF419"	11	8
"ZNF773"	6	6
"ZNF549"	1	0
"ZNF550"	8	17
"ZNF416"	2	13
"ZIK1"	2	5
"ZNF530"	7	8
"ZNF134"	14	16
"ZNF211"	0	6
"ZNF551"	4	10
"ZNF154"	0	0
"ZNF671"	2	0
"ZNF776"	8	7
"ZNF586"	9	5
"ZNF552"	3	8
"ZNF587B"	15	13
"ZNF814"	14	15
"ZNF587"	9	16
"ZNF417"	0	2
"ZNF418"	1	4
"ZNF256"	12	12
"C19orf18"	1	2
"ZNF606"	4	8
"ZSCAN1"	0	0
"ZNF135"	7	3
"ZSCAN18"	38	25
"ZNF329"	4	5
"ZNF274"	29	36
"ZNF544"	15	21
"AC020915.3"	7	6
"ZNF8"	7	2
"AC020915.1"	0	0
"ERVK3-1"	12	10
"AC010642.2"	60	28
"ZSCAN22"	2	0
"A1BG"	3	3
"A1BG-AS1"	2	1
"ZNF497"	0	0
"AC012313.6"	0	0
"ZNF837"	12	13
"RPS5"	7215	6124
"LINC02560"	5	2
"ZNF584"	28	16
"AC012313.1"	0	1
"ZNF132"	0	0
"AC012313.8"	1	0
"ZNF324B"	1	5
"ZNF324"	7	13
"ZNF446"	6	5
"SLC27A5"	16	22
"AC012313.9"	0	0
"ZBTB45"	6	8
"TRIM28"	217	184
"CHMP2A"	334	263
"UBE2M"	143	136
"MZF1-AS1"	8	2
"MZF1"	23	12
"AC016629.2"	0	0
"PCDH11Y"	0	0
"AP000547.3"	7	4
"AC006946.2"	1	2
"AC006946.3"	0	1
"IL17RA"	17	19
"TMEM121B"	0	0
"HDHD5"	35	54
"HDHD5-AS1"	0	0
"ADA2"	0	3
"CECR2"	0	0
"AC007666.1"	1	0
"ATP6V1E1"	75	74
"BCL2L13"	43	40
"BID"	14	30
"LINC00528"	0	0
"MICAL3"	25	16
"AC016027.1"	0	1
"PEX26"	18	20
"AC008079.2"	3	1
"USP18"	0	2
"LINC01660"	0	0
"FAM230A"	0	0
"TMEM191B"	9	14
"DGCR6"	3	26
"PRODH"	5	2
"DGCR2"	42	61
"AC004471.2"	0	1
"ESS2"	13	11
"LINC01311"	1	3
"SLC25A1"	38	56
"CLTCL1"	0	1
"HIRA"	10	8
"C22orf39"	77	75
"MRPL40"	212	208
"AC000068.1"	3	2
"UFD1"	144	133
"AC000068.2"	1	3
"CDC45"	23	38
"CLDN5"	4	0
"SEPT5"	0	0
"TBX1"	18	18
"GNB1L"	12	16
"RTL10"	16	17
"TXNRD2"	21	22
"COMT"	332	273
"ARVCF"	18	4
"TANGO2"	4	10
"AC006547.3"	0	0
"DGCR8"	26	19
"TRMT2A"	19	24
"RANBP1"	332	345
"ZDHHC8"	26	21
"CCDC188"	0	0
"RTN4R"	23	17
"DGCR6L"	69	148
"ZNF74"	5	6
"SCARF2"	0	0
"KLHL22"	10	8
"MED15"	23	30
"PI4KA"	15	18
"SERPIND1"	0	0
"SNAP29"	46	43
"CRKL"	21	20
"LINC01637"	1	2
"AIFM3"	1	5
"AC002470.1"	3	4
"LZTR1"	11	8
"THAP7"	50	58
"THAP7-AS1"	11	11
"P2RX6"	0	0
"SLC7A4"	0	3
"LRRC74B"	0	0
"AP000552.1"	0	0
"HIC2"	5	2
"TMEM191C"	2	5
"RIMBP3C"	0	0
"UBE2L3"	203	190
"YDJC"	43	58
"SDF2L1"	81	73
"PPIL2"	16	21
"YPEL1"	4	5
"MAPK1"	79	67
"PPM1F"	11	11
"AC245452.1"	3	5
"TOP3B"	7	3
"AC245060.6"	1	0
"AC245060.5"	6	10
"ZNF280B"	0	0
"IGLC2"	0	0
"IGLC3"	0	0
"RSPH14"	2	2
"GNAZ"	1	1
"RAB36"	2	2
"BCR"	23	12
"LINC01659"	2	5
"IGLL1"	1	0
"AP000345.2"	0	0
"RGL4"	0	0
"ZNF70"	2	2
"VPREB3"	1	1
"CHCHD10"	129	110
"MMP11"	2	1
"SMARCB1"	153	158
"DERL3"	1	1
"AP000350.5"	0	0
"SLC2A11"	6	9
"AP000350.7"	0	1
"MIF"	439	178
"MIF-AS1"	1	1
"GSTT2B"	28	17
"DDTL"	2	0
"AC253536.6"	0	0
"DDT"	334	292
"CABIN1"	18	23
"SUSD2"	0	0
"GGT5"	0	0
"SPECC1L"	7	8
"ADORA2A-AS1"	0	2
"UPB1"	0	2
"GUCD1"	28	30
"SNRPD3"	372	367
"GGT1"	0	0
"LRRC75B"	19	10
"SGSM1"	5	2
"TMEM211"	0	0
"KIAA1671"	17	7
"AL022323.3"	0	0
"AL022323.4"	4	4
"AL022323.1"	1	1
"CRYBB2"	8	3
"Z99916.3"	1	0
"LRP5L"	0	4
"GRK3"	17	6
"AL022329.2"	0	0
"SEZ6L"	1	0
"ASPHD2"	5	0
"HPS4"	47	59
"SRRD"	30	37
"TFIP11"	28	17
"Z95115.1"	1	13
"TPST2"	32	32
"CRYBB1"	0	0
"MIAT"	3	1
"Z99774.1"	0	0
"MIATNB"	10	5
"LINC01422"	1	0
"LINC01638"	0	0
"MN1"	3	1
"PITPNB"	146	87
"TTC28"	7	2
"CHEK2"	25	22
"HSCB"	32	36
"CCDC117"	7	16
"XBP1"	100	41
"Z93930.2"	9	2
"ZNRF3"	29	20
"ZNRF3-AS1"	2	1
"C22orf31"	2	0
"KREMEN1"	52	69
"EMID1"	4	3
"RHBDD3"	8	8
"EWSR1"	142	133
"GAS2L1"	138	90
"RASL10A"	3	1
"AP1B1"	19	15
"RFPL1S"	0	0
"NEFH"	2	0
"THOC5"	22	19
"NIPSNAP1"	17	30
"NF2"	23	13
"ZMAT5"	26	34
"UQCR10"	389	323
"ASCC2"	39	32
"MTMR3"	11	9
"AC003681.1"	1	7
"LIF"	6	10
"AC004264.1"	0	0
"OSM"	3	2
"CASTOR1"	5	7
"TBC1D10A"	39	31
"SF3A1"	39	36
"CCDC157"	0	3
"RNF215"	6	4
"SEC14L2"	2	6
"MTFP1"	2	2
"AC004832.6"	1	0
"GAL3ST1"	1	0
"PES1"	31	17
"TCN2"	3	3
"SLC35E4"	15	10
"DUSP18"	8	12
"OSBP2"	0	2
"MORC2-AS1"	9	14
"MORC2"	14	7
"SMTN"	17	17
"SELENOM"	42	48
"INPP5J"	0	1
"PLA2G3"	2	0
"RNF185"	11	16
"LIMK2"	61	69
"PIK3IP1"	48	60
"PIK3IP1-AS1"	0	0
"PATZ1"	3	6
"LINC01521"	1	7
"DRG1"	43	58
"EIF4ENIF1"	16	16
"AL096701.3"	1	1
"SFI1"	15	15
"PISD"	9	7
"PRR14L"	31	34
