"HC7"	"HC6"
"AL050343.1"	0	1
"AL050343.2"	1	0
"RAB3B"	4	0
"TXNDC12"	81	76
"KTI12"	9	28
"BTF3L4"	145	134
"ZFYVE9"	30	34
"CC2D1B"	12	5
"ORC1"	7	12
"PRPF38A"	65	87
"TUT4"	178	122
"GPX7"	13	18
"SHISAL2A"	0	1
"COA7"	15	20
"ZYG11B"	24	24
"ZYG11A"	2	0
"ECHDC2"	70	101
"SCP2"	249	228
"PODN"	5	0
"SLC1A7"	0	0
"AL445183.2"	0	0
"CPT2"	13	24
"AL606760.2"	0	0
"C1orf123"	64	69
"AL606760.3"	2	12
"MAGOH"	294	223
"AL606760.1"	4	2
"LRP8"	8	1
"AC119428.2"	0	0
"GLIS1"	13	19
"NDC1"	20	21
"YIPF1"	17	20
"HSPB11"	214	194
"LRRC42"	72	72
"TMEM59"	661	582
"TCEANC2"	9	10
"AL357673.1"	0	0
"CYB5RL"	4	5
"MRPL37"	55	80
"SSBP3"	85	93
"AC099796.1"	0	3
"ACOT11"	9	12
"MROH7"	0	0
"TTC4"	12	3
"PARS2"	2	6
"TTC22"	8	8
"LEXM"	0	1
"DHCR24"	57	64
"AC096536.1"	0	4
"TMEM61"	14	4
"PCSK9"	3	1
"USP24"	29	10
"MIR4422HG"	0	0
"AL603840.1"	0	0
"AC119674.1"	0	0
"AC119674.2"	1	0
"PLPP3"	13	6
"PRKAA2"	1	2
"DAB1"	0	0
"OMA1"	20	23
"TACSTD2"	1053	436
"MYSM1"	43	24
"AL136985.3"	1	0
"JUN"	3147	2993
"AC105277.1"	0	0
"LINC01358"	0	0
"AC093424.1"	0	0
"FGGY"	30	54
"HOOK1"	56	45
"CYP2J2"	1	2
"AC099792.1"	0	0
"NFIA"	113	123
"NFIA-AS2"	1	0
"TM2D1"	85	100
"AC099791.2"	1	1
"PATJ"	63	68
"L1TD1"	1	0
"KANK4"	0	1
"USP1"	182	169
"DOCK7"	33	32
"ATG4C"	18	21
"FOXD3-AS1"	0	2
"FOXD3"	0	0
"ALG6"	19	23
"ITGB3BP"	76	94
"EFCAB7"	22	20
"PGM1"	61	59
"ROR1"	2	4
"AL445205.1"	0	0
"CACHD1"	6	5
"RAVER2"	15	8
"JAK1"	189	130
"AK4"	71	64
"DNAJC6"	1	0
"LEPROT"	140	139
"LEPR"	6	1
"PDE4B"	11	10
"SGIP1"	1	0
"AL139147.1"	1	0
"TCTEX1D1"	0	0
"WDR78"	5	5
"MIER1"	110	87
"SLC35D1"	18	14
"IL23R"	0	0
"IL12RB2"	0	2
"SERBP1"	941	892
"GADD45A"	238	110
"GNG12"	166	163
"GNG12-AS1"	2	1
"DIRAS3"	0	2
"WLS"	95	115
"DEPDC1"	52	63
"LRRC7"	1	1
"LRRC40"	21	38
"SRSF11"	380	403
"ANKRD13C"	21	20
"HHLA3"	8	23
"CTH"	9	4
"PTGER3"	12	3
"AL031429.1"	0	0
"ZRANB2-AS1"	1	0
"ZRANB2"	129	149
"NEGR1"	7	0
"LRRIQ3"	1	5
"FPGT"	15	20
"FPGT-TNNI3K"	0	0
"TNNI3K"	0	0
"ERICH3"	0	0
"CRYZ"	20	34
"TYW3"	136	76
"SLC44A5"	6	0
"ACADM"	73	77
"RABGGTB"	92	83
"MSH4"	0	0
"ST6GALNAC3"	0	0
"ST6GALNAC5"	0	0
"PIGK"	17	16
"AK5"	0	0
"AC118549.1"	49	40
"USP33"	50	60
"MIGA1"	17	19
"NEXN-AS1"	0	0
"NEXN"	5	1
"FUBP1"	109	91
"DNAJB4"	99	71
